id,title,subtitle,one_sentence,key_formula,tags,image_status
01,天线收到的到底是什么？,从电磁场到电信号，再到信息,天线是电磁世界与电路世界之间的桥梁。,S = E × H；Pr = ∬A S·n dA,电磁场；有效口径；能量流；信息入口,final_candidate
02,面积越大，信息一定越多吗？,同样的功率，不同的模式分布，信息量可能不同,物理面积决定能收集多少能量；独立模式及其信噪比决定能承载多少信息。,Ae = λ²G/(4π)；I = Σn log2(1+γn),有效口径；模态信噪比；互信息；空间模式,final_candidate
03,从 Friis 到 Shannon：从功率到容量,电磁链路决定能量如何到达，信息论决定能量如何被利用,Friis回答能量如何到达，Shannon回答信息能够通过多少。,Pr = PtGtGr(λ/4πR)²；C = Σi log2(1+Piσi²/N0),Friis；Shannon；奇异值；信道容量,final_candidate
04,天线是模式转换器，而非功率收集器,把连续电磁场投影到一组可观测模式,天线选择并激励电磁模式，每个有效模式都可能对应一个独立信息通道。,vn = ∫S E(r)·En*(r) dr,模式转换；正交模式；场投影；信息通道,final_candidate
05,从信道矩阵 H 到电磁算子,信道不是黑盒，而是由发射、传播与接收共同形成,打开 H，可以看到电流、场、散射、边界、互易与耦合等物理本质。,y = Hx+n；H = RGT；y = RGT x+n,信道矩阵；电磁算子；格林函数；多径,final_candidate
06,三种自由度：阵元、信道、场,三者相关，但绝不等价,阵元是手段，信道是桥梁，场是本质。,r = rank(H)，且通常 r ≤ N；场自由度由口径、波长、距离和环境决定,阵元自由度；信道自由度；场自由度；物理极限,final_candidate
07,增加阵元 ≠ 增加自由度,固定口径下，端口加密最终会进入过采样与收益饱和,端口增加能够改善采样，但不能凭空创造新的电磁模式。,N ↑ 不必然导致 rank(H) ↑；有效秩随口径与环境趋于饱和,密集阵列；过采样；有效秩；互耦,needs_redraw
08,空间采样：天线阵列采样什么？,阵列采样的是空间带限电磁场，而不是孤立的几何点,采样密度取决于空间场包含的细节，而空间细节不等于独立信息自由度。,典型远场无混叠条件：Δx ≤ λ/2（需结合场景与假设理解）,空间采样；空间频谱；场重建；Nyquist,final_candidate
09,多径不是敌人，而是信息资源,散射环境能够形成空间多样性和独立传播模式,不能被区分的多径是干扰，能够被分离的多径则可能成为自由度。,"H = Σℓ αℓ ar(Ωr,ℓ) atH(Ωt,ℓ)",多径；散射；空间多样性；MIMO,needs_redraw
10,从远场角度自由度到近场距离自由度,远场看方向，近场还可以看距离,同一角度不再意味着同一空间位置，近场为通信增加了距离域分辨能力。,远场近似：R ≫ 2D²/λ；近场保留球面距离 Rmn,近场通信；球面波；距离域；LDMA,needs_redraw
11,全息 MIMO：连续表面作为信息入口,从离散天线走向连续超口径，逼近物理极限,全息MIMO利用连续电磁口径，将空间模式映射为面向多用户的并行通道。,"E(r) = ∫S G(r,r')J(r')dr'",全息MIMO；连续口径；多用户；物理极限,final_candidate
12,打开无线世界的物理黑盒,从麦克斯韦到信息论，一条完整的认知链路,无线通信的本质，是物理世界向信息世界的层层投影、压缩与提取。,Maxwell方程 → 电磁算子 → 本征模式 → 互信息/容量,麦克斯韦；模式；信息；容量极限,final_candidate
