id,title,subtitle,stage,core,keywords,quote,image_status
01,世界是一个系统,从电磁场到系统科学,电子信息方法论,世界不是孤立对象的集合，而是输入、结构、环境与输出之间的关系网络。,系统；响应；输入输出；传递关系；因果链,工程的起点不是计算，而是看清系统的边界与关系。,正式匹配（已修订）
02,模型是理解复杂世界的桥梁,从麦克斯韦方程到数学模型,电子信息方法论,模型是现实的有目的压缩：舍弃无关细节，保留决定行为的结构。,抽象；建模；指标；预测；尺度,模型不是现实本身，但它让我们比直接面对现实走得更远。,正式匹配
03,边界决定系统行为,从边界条件到权限边界,电子信息 → 软件工程,相同的基本规律，在不同边界条件下会产生完全不同的行为。,边界；权限；条件；安全；可控,自由的前提是边界，智能的基础是约束。,正式匹配
04,优化：在约束中寻找最优解,工程的本质是在约束下追求可达的最好,电子信息 → 软件工程,现实工程不存在脱离资源、成本、安全和物理条件的绝对最优。,优化；约束；权衡；多目标；可达性,优化不是找到最好，而是在现实中找到可达的最好。,正式匹配
05,从电磁分层到软件架构,分层是控制复杂度的关键,软件工程方法论,分层不是为了分割系统，而是为了让每一层只处理本层问题，并通过稳定接口协同。,分层；架构；抽象；低耦合；可维护性,分层不是为了分割，而是为了更好地连接。,正式匹配
06,接口：让复杂系统协同工作,从物理接口到 API 与工具协议,软件工程方法论,复杂系统能否协作，取决于接口是否明确、稳定、可验证，而不是各模块是否彼此了解全部细节。,接口；协议；契约；协同；解耦,伟大的系统不是因为每个模块无所不能，而是因为它们能够可靠协同。,待按提示词生成
07,验证：不要相信，要证明,从仿真测量到测试与审计,软件工程方法论,系统输出不能因为“看起来合理”就被接受，必须通过独立证据、边界测试和可追溯记录建立可信度。,验证；测试；证据；审计；可复现,可信不是系统对自己的评价，而是独立证据共同指向的结果。,待按提示词生成
08,系统需要持续演化,从一次设计到反馈闭环,软件工程 → Agent,面对变化的环境、需求和知识，真正可持续的系统必须依靠反馈持续修正自身。,反馈；迭代；学习；版本；持续演化,没有反馈的系统只能重复过去，有反馈的系统才可能适应未来。,待按提示词生成
09,从输入输出到目标驱动,从传递函数到任务规划,AI Agent方法论,传统系统接收明确输入并执行预定变换；Agent 接收目标，自主构造中间步骤并选择行动。,目标；规划；行动；重规划；验收,AI 时代最重要的能力，不只是告诉机器怎么做，而是准确规定什么叫做成。,待按提示词生成
10,Agent 是具有自主性的系统,从被动执行到主动决策,AI Agent方法论,自主性不是无限自由，而是在既定目标、边界和评价机制中选择下一步行动的能力。,自主性；闭环；决策；工具；治理,自主不是摆脱约束，而是在约束中承担选择的责任。,待按提示词生成
11,提示词不是命令，而是系统设计,从单句指令到可执行任务规格,AI Agent方法论,高质量 Prompt 的本质不是修辞技巧，而是用结构化语言定义一个临时的软件系统和执行契约。,Prompt；系统设计；任务规格；验收标准；可执行性,提示词的质量，决定了智能系统能够看见的边界和必须承担的责任。,待按提示词生成
12,从天线设计到 Agent 设计,方法迁移、能力迁移、未来已来,综合迁移,天线工程师一直在做一件与 Agent 设计高度同构的事：在目标和约束下设计结构，使系统产生期望响应。,迁移；设计；响应；Agent工程；未来能力,天线把能量塑造成空间中的波束；Agent 把能力组织成时间中的行动。,待按提示词生成
